URL_ID,URL,positive_score,negative_score,Polarity_Score,subjectiivity_score,avg_senetence_length,Percentage_of_Complex_words,Fog_Index,avg_no_of_words_per_sentence,complex_Word_Count,word_count,syllable_count,personal_pronouns,avg_word_length
1,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,78,34,0.392857139,0.024458032,155.0909091,0.352973874,62.17755319,23.33766234,635,1799,3924,1,5.682045581
2,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,71,38,0.302752291,0.023239437,118.0285714,0.23943662,47.30720322,20.28571429,340,1420,2667,6,4.866901408
3,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,74,38,0.321428569,0.020930233,126.7209302,0.33255814,50.82139535,19.88372093,572,1720,3607,2,5.391860465
4,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,85,28,0.504424774,0.034193161,115.2891566,0.235752849,46.20996379,20,393,1667,3127,18,4.794241152
5,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,68,27,0.431578943,0.023295455,143.7432432,0.259090909,57.60093366,23.60810811,456,1760,3375,16,5.093181818
6,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,56,23,0.417721514,0.025267994,135.0689655,0.25957121,54.13141469,22.48275862,339,1306,2513,18,5.044410413
7,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,29,12,0.414634136,0.022397892,99.84444444,0.251646904,40.03843654,16.53333333,191,759,1433,7,4.998682477
9,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,43,13,0.535714276,0.040816326,118.5,0.234013605,47.49360544,20.36111111,172,735,1356,0,4.855782313
10,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,78,41,0.310924367,0.017027151,156.2682927,0.264150943,62.61297745,26.3902439,574,2173,4237,9,4.938794294
11,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,61,67,-0.046875,-0.002992519,117.2403846,0.273316708,47.00548053,19.08653846,548,2005,3945,2,5.143142145
12,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,47,22,0.362318835,0.020815987,139.1071429,0.323064113,55.77208279,21.44642857,388,1201,2562,10,5.532889259
13,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,42,27,0.217391301,0.012009608,104.4084507,0.263410729,41.86874457,17.42253521,329,1249,2402,6,5.001601281
14,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,73,24,0.505154634,0.028789659,158.2698413,0.246180964,63.40640889,26.93650794,419,1702,3249,21,4.898354877
15,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,82,24,0.547169806,0.035045317,126.9873418,0.274320242,50.90466481,20.87341772,454,1655,3290,9,5.112990937
16,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,0,0.999999964,0.0546875,142.5217391,0.328125,57.13994565,22.26086957,168,512,1097,0,5.447265625
17,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,104,39,0.454545451,0.035675082,1169,0.236004391,467.6944018,201.6666667,430,1822,3353,15,4.783205269
18,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,34,0,0.999999971,0.03526971,105.6964286,0.321576763,42.40720213,17.21428571,310,964,1930,0,5.197095436
19,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,6,0.428571408,0.012362637,108.9069767,0.32967033,43.69465883,16.8372093,240,728,1508,0,5.495879121
20,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,5,4,0.111111099,0.003039514,148.7142857,0.310030395,59.60972644,23.42857143,102,329,662,2,5.373860182
22,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,35,68,-0.320388346,-0.023792358,148.0175439,0.286229272,59.32150925,24.31578947,397,1387,2756,2,5.124729632
23,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,21,15,0.166666662,0.008185539,144.7,0.253751705,57.98150068,24.4,186,733,1394,4,4.964529332
24,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,74,38,0.321428569,0.018357981,122.4623656,0.234574197,49.07877592,20.92473118,460,1961,3677,10,4.862315145
25,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,53,3,0.892857127,0.073421439,91.84444444,0.287812041,36.85290259,15.13333333,196,681,1329,4,5.135095448
26,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,9,1,0.79999992,0.020565553,136.5882353,0.236503856,54.72989566,22.76470588,92,389,755,0,5.017994859
